,0
1339,764
1340,1143
1341,787
1342,1119
1343,811
1344,1088
1345,822
1346,1059
1347,828
1348,1026
1349,843
1350,994
1351,839
1352,966
1353,831
1354,933
1355,829
1356,907
1357,811
1358,887
1359,793
1360,864
1361,778
1362,847
1363,748
1364,827
1365,724
1366,804
1367,707
1368,788
1369,679
1370,763
1371,665
1372,739
1373,655
1374,722
1375,635
1376,700
1377,636
1378,670
1379,634
1380,645
1381,624
1382,619
1383,630
1384,583
1385,628
1386,549
1387,628
1388,503
1389,628
1390,455
1391,616
1392,406
1393,600
1394,340
1395,579
1396,275
1397,543
1398,202
1399,503
1400,111
1401,451
1402,24
1403,389
1404,-68
1405,329
1406,-166
1407,257
1408,-252
1409,189
1410,-338
1411,130
1412,-423
1413,67
1414,-496
1415,3
1416,-571
1417,-51
1418,-637
1419,-101
1420,-688
1421,-140
1422,-747
1423,-165
1424,-793
1425,-201
1426,-831
1427,-224
1428,-874
1429,-245
1430,-906
1431,-281
1432,-939
1433,-305
1434,-967
1435,-337
1436,-986
1437,-377
1438,-1010
1439,-411
1440,-1026
1441,-451
1442,-1032
1443,-493
1444,-1047
1445,-530
1446,-1056
1447,-574
1448,-1060
1449,-610
1450,-1072
1451,-637
1452,-1074
1453,-674
1454,-1076
1455,-693
1456,-1083
1457,-699
1458,-1075
1459,-709
1460,-1065
1461,-702
1462,-1055
1463,-697
1464,-1029
1465,-695
1466,-1002
1467,-675
1468,-965
1469,-655
1470,-916
1471,-634
1472,-869
1473,-602
1474,-807
1475,-567
1476,-741
1477,-534
1478,-681
1479,-489
1480,-608
1481,-447
1482,-541
1483,-405
1484,-480
1485,-359
1486,-420
1487,-320
1488,-368
1489,-274
1490,-331
1491,-241
1492,-300
1493,-219
1494,-274
1495,-200
1496,-262
1497,-198
1498,-247
1499,-203
1500,-238
1501,-206
1502,-229
1503,-228
1504,-210
1505,-250
1506,-190
1507,-262
1508,-158
1509,-288
1510,-111
1511,-303
1512,-56
1513,-303
1514,18
1515,-303
1516,107
1517,-283
1518,199
1519,-254
1520,302
1521,-219
1522,412
1523,-166
1524,515
1525,-113
1526,622
1527,-52
1528,717
1529,24
1530,801
1531,88
1532,889
1533,150
1534,958
1535,221
1536,1014
1537,285
1538,1064
1539,340
1540,1096
1541,399
1542,1121
1543,450
1544,1141
1545,494
1546,1148
1547,544
1548,1150
1549,576
1550,1150
1551,609
1552,1137
1553,641
1554,1122
1555,653
1556,1097
1557,667
1558,1063
1559,677
1560,1029
1561,668
1562,986
1563,666
1564,942
1565,651
1566,903
1567,620
1568,850
1569,601
1570,799
1571,564
1572,749
1573,528
1574,691
1575,490
1576,644
1577,441
1578,597
1579,404
1580,547
1581,362
1582,508
1583,319
1584,470
1585,286
1586,436
1587,257
1588,414
1589,231
1590,394
1591,225
1592,377
1593,221
1594,370
1595,214
1596,370
1597,228
1598,370
1599,238
1600,378
1601,246
1602,383
1603,269
1604,388
1605,276
1606,395
1607,282
1608,389
1609,288
1610,380
1611,281
1612,359
1613,267
1614,325
1615,248
1616,291
1617,208
1618,245
1619,171
1620,189
1621,126
1622,132
1623,66
1624,67
1625,15
1626,-4
1627,-52
1628,-70
1629,-109
1630,-140
1631,-155
1632,-206
1633,-211
1634,-262
1635,-251
1636,-325
1637,-279
1638,-377
1639,-303
1640,-424
1641,-318
1642,-477
1643,-323
1644,-518
1645,-327
1646,-557
1647,-326
